,ligand,receptor,JS_Treg,JS_Th0,delta,frac_pos_Treg,frac_pos_Th0,mean_recep_Treg,mean_recep_Th0,mean_lig,n_Treg,n_Th0
0,Cxcl13,Cxcr5,0.8695925656040716,0.6397243372310475,0.22986822837302412,0.030957943925233645,0.32663989290495316,0.25749436020851135,2.8821725845336914,0.5008298754692078,1712,1494
1,Ccl21a,Ccr7,0.8547104443836993,0.6938024015241725,0.16090804285952676,0.06600467289719626,0.20214190093708165,0.5730175971984863,1.7761784791946411,0.519371509552002,1712,1494
2,Ccl19,Ccr7,0.831180713571341,0.6780868868836543,0.15309382668768678,0.06600467289719626,0.20214190093708165,0.5730175971984863,1.7761784791946411,0.42578524351119995,1712,1494
3,Ccl20,Ccr6,0.6990307044338367,0.5977175214383247,0.10131318299551206,0.22605140186915887,0.34002677376171353,1.9380466938018799,3.0904088020324707,0.11632438004016876,1712,1494
4,Il9,Il9r,0.9177102522344885,0.8511513979825056,0.06655885425198294,0.053738317757009345,0.16131191432396252,0.4468090236186981,1.386748194694519,0.008862395770847797,1712,1494
5,Itgb2,Icam2,0.7603122169199389,0.7241546529254277,0.0361575639945112,0.11507009345794393,0.19143239625167335,0.9528506398200989,1.6346549987792969,3.785571813583374,1712,1494
6,Reln,Itgb1,0.618482462948387,0.5844421409726039,0.034040321975783105,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,0.2381298989057541,1712,1494
7,Madcam1,Itga4,0.7015711284970959,0.6842456661100497,0.017325462387046242,0.709696261682243,0.6532797858099063,6.357210636138916,6.104095458984375,0.015501964837312698,1712,1494
8,Madcam1,Itgb7,0.6970682780532197,0.6928490501235998,0.004219227929619929,0.8101635514018691,0.5120481927710844,7.328225612640381,4.610322952270508,0.015501964837312698,1712,1494
9,Il21,Il2rg,0.5463803116906114,0.5438718539264337,0.0025084577641777406,0.8276869158878505,0.7161981258366801,7.5729546546936035,6.6432318687438965,0.057126712054014206,1712,1494
10,Reln,Itga3,0.7655701661138459,0.7692729193425346,-0.0037027532286887377,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,0.2381298989057541,1712,1494
11,Cd40lg,Itga5,0.7602413443292639,0.7757930891891207,-0.015551744859856775,0.1314252336448598,0.0823293172690763,1.0850181579589844,0.7042641043663025,0.2085462510585785,1712,1494
12,Cd40lg,Itgb1,0.49864367699023115,0.5173140459096693,-0.018670368919438185,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,0.2085462510585785,1712,1494
13,Sell,Cd34,0.6879559772411681,0.7098341027007566,-0.02187812545958856,0.22780373831775702,0.18005354752342703,1.9279000759124756,1.567202091217041,0.9868013262748718,1712,1494
14,Il17f,Il17ra,0.6598316026510352,0.6836924548964641,-0.023860852245428887,0.29380841121495327,0.3032128514056225,2.46926212310791,2.637713670730591,0.057830534875392914,1712,1494
15,Il17a,Il17ra,0.653796970007279,0.6777018505712749,-0.023904880563995867,0.29380841121495327,0.3032128514056225,2.46926212310791,2.637713670730591,0.09669100493192673,1712,1494
16,Il21,Il21r,0.6514235402760329,0.6786713333205928,-0.02724779304455993,0.2949766355140187,0.21954484605087016,2.48171329498291,1.8904168605804443,0.057126712054014206,1712,1494
17,Cd70,Cd27,0.752058270201698,0.7814686202926472,-0.029410350090949167,0.3592289719626168,0.3908969210174029,3.095735549926758,3.473543167114258,0.010414738208055496,1712,1494
18,Calcb,Calcrl,0.7001359064198855,0.7308499315543399,-0.030714025134454315,0.4713785046728972,0.4042838018741633,4.153886795043945,3.6804020404815674,0.02642304264008999,1712,1494
19,Il25,Il17ra,0.7366962149929718,0.7681059364971073,-0.03140972150413557,0.29380841121495327,0.3032128514056225,2.46926212310791,2.637713670730591,0.02267233282327652,1712,1494
20,Dll3,Notch1,0.7082598903387796,0.7412940919087113,-0.033034201569931754,0.4894859813084112,0.4350736278447122,4.200056552886963,3.813051700592041,0.01645168475806713,1712,1494
21,Lamc3,Itga6,0.7231819391865807,0.7579429940685835,-0.03476105488200276,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,0.2575504779815674,1712,1494
22,Col1a1,Itga9,0.7739647450072398,0.8096987053678563,-0.03573396036061649,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,3.2534241676330566,1712,1494
23,Il9,Il2rg,0.7387148703631382,0.7767780966347065,-0.03806322627156833,0.8276869158878505,0.7161981258366801,7.5729546546936035,6.6432318687438965,0.008862395770847797,1712,1494
24,Lamc3,Itga9,0.8138997586837016,0.8532618399387326,-0.039362081255031045,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,0.2575504779815674,1712,1494
25,Lama2,Itga9,0.7855997083085634,0.8264219441989704,-0.04082223589040701,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,1.2718786001205444,1712,1494
26,Cxcl13,Cxcr3,0.6585072316153724,0.7003362646085798,-0.04182903299320739,0.2517523364485981,0.17670682730923695,2.1766631603240967,1.5541406869888306,0.5008298754692078,1712,1494
27,Icosl,Cd28,0.5230446873530964,0.5653932413146641,-0.04234855396156767,0.5338785046728972,0.5990629183400268,4.622020721435547,5.450109481811523,1.5611708164215088,1712,1494
28,Cd40lg,Itgb2,0.4722250416846958,0.5153222373591223,-0.04309719567442649,0.804322429906542,0.7014725568942436,7.26543664932251,6.4725189208984375,0.2085462510585785,1712,1494
29,Calca,Calcrl,0.6301353238608383,0.6738652048687135,-0.043729881007875226,0.4713785046728972,0.4042838018741633,4.153886795043945,3.6804020404815674,0.058110687881708145,1712,1494
30,Igf2,Itga6,0.6854808195785727,0.7301430611745753,-0.04466224159600263,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,0.17159707844257355,1712,1494
31,Dll3,Notch2,0.7328097647288719,0.7776786611295085,-0.044868896400636515,0.3662383177570093,0.3253012048192771,3.085585594177246,2.832099199295044,0.01645168475806713,1712,1494
32,Lamb1,Itga9,0.7820572905990805,0.8279072529898396,-0.045849962390759114,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,1.9755010604858398,1712,1494
33,Lama2,Itga6,0.6666628646611601,0.7148979748887957,-0.0482351102276356,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,1.2718786001205444,1712,1494
34,Pecam1,Pecam1,0.6082529365023185,0.6598296653484317,-0.051576728846113196,0.370911214953271,0.46251673360107093,3.195023775100708,4.1540422439575195,5.400041103363037,1712,1494
35,Lama1,Itga9,0.7869228689042848,0.8391189438891573,-0.052196074984872554,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,0.16024239361286163,1712,1494
36,Lama1,Itga6,0.6820227355568318,0.7342957754852182,-0.05227303992838639,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,0.16024239361286163,1712,1494
37,Lamb1,Itga6,0.6621099666925159,0.7151122061781969,-0.05300223948568106,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,1.9755010604858398,1712,1494
38,Col4a1,Itga9,0.7786887611824098,0.8318888677041361,-0.05320010652172624,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,7.091513156890869,1712,1494
39,Adm,Calcrl,0.5948512089582482,0.6492077164649231,-0.05435650750667498,0.4713785046728972,0.4042838018741633,4.153886795043945,3.6804020404815674,0.2734023332595825,1712,1494
