,ligand,receptor,JS_adventitia_CD4act,JS_TLS_CD4act,delta,frac_pos_adventitia_CD4act,frac_pos_TLS_CD4act,mean_recep_adventitia_CD4act,mean_recep_TLS_CD4act,mean_lig,n_adventitia_CD4act,n_TLS_CD4act
0,Ccl20,Ccr6,0.7205762104741728,0.5935084198024685,0.12706779067170426,0.24060693641618497,0.4633333333333333,2.1239607334136963,4.185644626617432,0.11632438004016876,1384,1200
1,Cxcl13,Cxcr5,0.8013687653154434,0.7229364393600762,0.0784323259553672,0.10476878612716763,0.2875,0.9050302505493164,2.5333542823791504,0.5008298754692078,1384,1200
2,Il21,Il21r,0.757771308564211,0.7244256383578196,0.03334567020639145,0.20014450867052022,0.25666666666666665,1.7136269807815552,2.2082862854003906,0.057126712054014206,1384,1200
3,Cxcl13,Cxcr3,0.7548900398197885,0.7304071932262542,0.02448284659353428,0.18858381502890173,0.21416666666666667,1.6522655487060547,1.872229814529419,0.5008298754692078,1384,1200
4,Cd80,Cd274,0.8071617242423966,0.78612829391248,0.02103343032991667,0.11705202312138728,0.155,0.989098846912384,1.3190040588378906,0.3400360643863678,1384,1200
5,Lama1,Itga3,0.8403653331203774,0.8249316470521951,0.015433686068182295,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,0.16024239361286163,1384,1200
6,Itgb2,Icam2,0.8137099095189763,0.8050678615732216,0.008642047945754627,0.11632947976878613,0.16916666666666666,0.985629141330719,1.4449788331985474,3.785571813583374,1384,1200
7,Lamc2,Itga3,0.8356530694365406,0.8270140010915977,0.00863906834494288,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,2.041736364364624,1384,1200
8,Il21,Il2rg,0.6522292929011275,0.6456112293810875,0.006618063520040018,0.7861271676300579,0.7941666666666667,7.257000923156738,7.337060451507568,0.057126712054014206,1384,1200
9,Sell,Cd34,0.7677813620562983,0.7616509117720061,0.006130450284292266,0.2203757225433526,0.19333333333333333,1.8980921506881714,1.6941728591918945,0.9868013262748718,1384,1200
10,Madcam1,Itgb7,0.7548838490575395,0.7498290680386865,0.005054781018852927,0.6567919075144508,0.5558333333333333,5.963653564453125,4.942928791046143,0.015501964837312698,1384,1200
11,Cd70,Cd27,0.8316255969872257,0.830072043689148,0.0015535532980777145,0.31647398843930635,0.3225,2.7798638343811035,2.863602638244629,0.010414738208055496,1384,1200
12,Cxcl10,Cxcr3,0.7932138038054763,0.7953103985519904,-0.0020965947465140244,0.18858381502890173,0.21416666666666667,1.6522655487060547,1.872229814529419,0.2894594967365265,1384,1200
13,Lama3,Itga3,0.8331264516195119,0.8357608643673035,-0.002634412747791526,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,1.4434186220169067,1384,1200
14,Cxcl9,Cxcr3,0.7671067789599849,0.7698166899671681,-0.0027099110071832078,0.18858381502890173,0.21416666666666667,1.6522655487060547,1.872229814529419,0.39779457449913025,1384,1200
15,Pdcd1lg2,Pdcd1,0.7506127823668279,0.7544721473003871,-0.003859364933559206,0.25216763005780346,0.3383333333333333,2.196676731109619,2.994497060775757,0.5769128203392029,1384,1200
16,Ccl19,Ccr7,0.7782026091350747,0.7823543864010478,-0.0041517772659731556,0.0968208092485549,0.12,0.8445489406585693,1.0386425256729126,0.42578524351119995,1384,1200
17,Il9,Il9r,0.8776540628827958,0.8837608988201066,-0.006106835937310762,0.1119942196531792,0.18666666666666668,0.9471421241760254,1.6140799522399902,0.008862395770847797,1384,1200
18,Lama1,Itga1,0.8238996120823577,0.830648904276663,-0.006749292194305312,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,0.16024239361286163,1384,1200
19,Madcam1,Itga4,0.7414600037643599,0.748476396440798,-0.007016392676438055,0.6604046242774566,0.6758333333333333,6.084496021270752,6.20207405090332,0.015501964837312698,1384,1200
20,Spp1,Itga9,0.8623378661272033,0.8694935042140446,-0.007155638086841276,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,2.048954963684082,1384,1200
21,Ifng,Ifngr2,0.7701184169931335,0.7779998819497957,-0.007881464956662199,0.2420520231213873,0.33,2.048863649368286,2.8376407623291016,0.0498739629983902,1384,1200
22,Col4a1,Itga3,0.813789860954062,0.821752587992808,-0.00796272703874601,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,7.091513156890869,1384,1200
23,Cdh1,Cdh1,0.8283040262655317,0.8390763137310264,-0.010772287465494745,0.0953757225433526,0.13916666666666666,0.804151177406311,1.1853779554367065,3.2274091243743896,1384,1200
24,Fn1,Itga3,0.8037360782488174,0.8150107768453371,-0.011274698596519639,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,5.665269374847412,1384,1200
25,Cd40lg,Itga5,0.7756574775117424,0.7872804067770004,-0.011622929265257986,0.11416184971098266,0.09,0.9649397730827332,0.7617132663726807,0.2085462510585785,1384,1200
26,Cd274,Pdcd1,0.7754958662167444,0.787559436995662,-0.01206357077891762,0.25216763005780346,0.3383333333333333,2.196676731109619,2.994497060775757,1.0848660469055176,1384,1200
27,Spp1,Itgb3,0.812781573233339,0.8279886604018944,-0.015207087168555455,0.25939306358381503,0.195,2.242915391921997,1.6854921579360962,2.048954963684082,1384,1200
28,Spp1,Itga5,0.8521859518778407,0.8690249975400576,-0.016839045662216834,0.11416184971098266,0.09,0.9649397730827332,0.7617132663726807,2.048954963684082,1384,1200
29,Lamc2,Itga1,0.8175347390510465,0.8361642556013488,-0.018629516550302316,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,2.041736364364624,1384,1200
30,Jam2,Itga3,0.806302375256145,0.8273039497380282,-0.021001574481883223,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,2.008331060409546,1384,1200
31,Cd40lg,Itgb3,0.691745967397588,0.7132240975624008,-0.021478130164812814,0.25939306358381503,0.195,2.242915391921997,1.6854921579360962,0.2085462510585785,1384,1200
