,names,logfoldchanges,pvals_adj,group
0,H2-Ab1,4.8000917,0.0,in-TLS
1,H2-DMb2,5.5941296,0.0,in-TLS
2,Ptprc,4.4867673,0.0,in-TLS
3,Icosl,3.6324644,0.0,in-TLS
4,Sell,3.0541062,0.0,in-TLS
5,Cxcl13,3.2524288,1.181112897393345e-264,in-TLS
6,Tgfb1,1.2214162,2.4040574797196806e-226,in-TLS
7,Thy1,2.149577,2.818328058407464e-191,in-TLS
8,Ccl20,4.024129,1.1278453331920788e-74,in-TLS
9,Ccl19,1.9478834,2.6167185172768494e-67,in-TLS
10,Cxcl16,0.59318024,1.2671927296825673e-59,in-TLS
11,Cd86,1.2013277,4.5499365347772475e-57,in-TLS
12,Pdcd1lg2,1.4768965,6.204028721836844e-51,in-TLS
13,Flt3l,0.7880051,8.372354396862614e-34,in-TLS
14,Cd40lg,2.1069682,2.7876627288588475e-31,in-TLS
15,Cxcl9,1.5218835,2.4794904141104323e-30,in-TLS
16,Cd80,1.5251493,9.10889573620804e-29,in-TLS
17,Col1a1,0.44105121,6.5476406491941474e-21,in-TLS
18,Tgfb3,0.47999284,1.613011138434314e-19,in-TLS
19,Ccl21a,1.0852265,4.548855904210605e-19,in-TLS
20,Cd226,1.1303186,4.897987440211388e-19,in-TLS
21,Ccl5,0.6223774,2.451759121161981e-08,in-TLS
22,Reln,1.0919402,6.571388708803762e-08,in-TLS
23,Cxcl10,0.81201047,1.3916765046093464e-05,in-TLS
24,Cd8a,0.6235518,0.02716553737657058,in-TLS
25,Il17a,0.8304333,0.10519252115849634,in-TLS
26,Nmb,0.42712367,0.1311223491734644,in-TLS
27,Cd274,0.11005113,0.17180334953433773,in-TLS
28,Jam3,0.22563453,0.2316108199088075,in-TLS
29,Pomc,0.15491962,0.2983797533472206,in-TLS
30,Ncam1,0.38324478,0.32443217119642953,in-TLS
31,Il7,0.187091,0.4749048935393979,in-TLS
32,Ccl25,0.025019914,0.9587693026909041,in-TLS
33,Ccl4,-0.42850843,0.2929003988273139,in-TLS
34,Il6,-1.0036956,0.211828020781017,in-TLS
35,Il4,-0.524451,0.1576036578974414,in-TLS
36,Lama1,-0.64164644,0.14002340760948487,in-TLS
37,Adm,-0.35683084,0.11898775175465533,in-TLS
38,Gzma,-1.2388666,0.007503060945707931,in-TLS
39,Igf2,-1.8381404,0.0005747948882270508,in-TLS
40,Vtn,-1.4651177,0.0004884430732550952,in-TLS
41,Ccl3,-1.0915791,0.0003977728072110387,in-TLS
42,Il15,-0.5938641,2.3739455406724987e-06,in-TLS
43,Tslp,-1.2676524,2.558844713307899e-08,in-TLS
44,Lamc3,-2.6302707,9.660512869841867e-10,in-TLS
45,Gdnf,-1.405972,8.910697660440836e-11,in-TLS
46,Il1b,-0.812768,6.622144805215272e-11,in-TLS
47,Areg,-1.6606722,8.269760763177967e-15,in-TLS
48,Ccl11,-0.8970392,7.684239046478497e-15,in-TLS
49,Tgfb2,-0.9118428,8.936392609005671e-19,in-TLS
50,Cx3cl1,-0.83935404,1.2498523716311068e-21,in-TLS
51,Il18,-1.4011049,2.378491845657049e-27,in-TLS
52,Scgb3a2,-1.7334547,1.9252101837600608e-38,in-TLS
53,C3,-0.8404858,1.3335713737653223e-47,in-TLS
54,Cxcl12,-0.96514165,6.1964124678417e-49,in-TLS
55,Dll1,-1.4614027,1.3312234009464093e-51,in-TLS
56,Lama2,-1.4795147,3.436490540866986e-66,in-TLS
57,Icam1,-1.025336,4.545834840804961e-72,in-TLS
58,Lama3,-1.6932731,2.0892544602994833e-91,in-TLS
59,Lamb1,-1.3890009,2.282984663017225e-94,in-TLS
60,Tnc,-1.7429241,1.1767941527914198e-109,in-TLS
61,Lamc2,-1.5727895,1.223961038704519e-118,in-TLS
62,Il33,-1.4288901,4.1160251621242284e-123,in-TLS
63,Dll4,-2.3374283,1.1970598294009045e-151,in-TLS
64,Spp1,-1.9610093,9.977818935940424e-162,in-TLS
65,Jam2,-2.1273005,8.084103895149911e-198,in-TLS
66,Icam2,-2.229185,5.910205819565934e-277,in-TLS
67,Fn1,-1.9805142,5.038268556943007e-305,in-TLS
68,Pecam1,-1.9738529,0.0,in-TLS
69,Cd34,-2.5484033,0.0,in-TLS
70,Cdh1,-2.691894,0.0,in-TLS
71,Vwf,-3.2179627,0.0,in-TLS
72,F11r,-2.6986809,0.0,in-TLS
73,Col4a1,-3.74998,0.0,in-TLS
74,Cdh5,-4.491713,0.0,in-TLS
75,Col1a1,0.8735417,8.26134722881772e-126,near-TLS
76,H2-Ab1,0.7657851,1.0608563194786119e-108,near-TLS
77,Ccl21a,1.2524946,7.43817319996535e-49,near-TLS
78,Fn1,0.43290052,1.280080114153291e-32,near-TLS
79,Tgfb3,0.48019385,1.4771757167505743e-31,near-TLS
80,Cxcl16,0.38037667,2.0939294669059832e-27,near-TLS
81,Cd34,0.37799448,1.0217522225973227e-24,near-TLS
82,Thy1,0.5743273,1.666915014146217e-24,near-TLS
83,Ptprc,0.3459863,1.97806858610985e-15,near-TLS
84,Ccl19,0.73500794,6.935830728745929e-15,near-TLS
85,Ccl11,0.51879466,7.210616992383128e-15,near-TLS
86,Reln,1.1307285,1.6673207436797644e-14,near-TLS
87,Ccl5,0.53390944,2.8063196891465007e-11,near-TLS
88,H2-DMb2,0.28048992,2.8063196891465007e-11,near-TLS
89,Spp1,0.25267705,1.845999096428401e-08,near-TLS
90,Il33,0.23808284,2.225274556399807e-07,near-TLS
91,Cxcl9,0.55864143,3.1713517528761254e-07,near-TLS
92,Icosl,0.21023753,1.4586565680569593e-05,near-TLS
93,Tgfb1,0.19807068,4.0167672192575375e-05,near-TLS
94,Tnc,0.19351164,6.447902227769411e-05,near-TLS
95,Flt3l,0.19810922,6.556857288732277e-05,near-TLS
96,Jam2,0.16554601,0.00011416403952807888,near-TLS
97,Cd86,0.18690945,0.001969678727350247,near-TLS
98,Cd226,0.27242067,0.014284222324538003,near-TLS
99,Cxcl12,0.118898906,0.019760842071257955,near-TLS
100,Ccl3,0.38376406,0.020806073202690095,near-TLS
101,Cd274,0.13293645,0.026123429474250757,near-TLS
102,Il7,0.32255363,0.04305404555594723,near-TLS
103,Cxcl10,0.29927588,0.07517474747657095,near-TLS
104,Cd40lg,0.32405058,0.1175516702506353,near-TLS
105,Cd80,0.2113132,0.11973511867516373,near-TLS
106,Il15,0.13637574,0.13567980895336304,near-TLS
107,Pdcd1lg2,0.12222064,0.19964674617300304,near-TLS
108,Cd8a,0.30599248,0.20278635661858702,near-TLS
109,C3,0.12374105,0.22636729581500084,near-TLS
110,Ccl4,0.33015135,0.2318535170869724,near-TLS
111,Jam3,0.15383653,0.23505898080601936,near-TLS
112,Dll1,0.06273342,0.328660392374725,near-TLS
113,Lama1,0.25717947,0.33099024638479413,near-TLS
114,Gdnf,0.095185526,0.44913077934939805,near-TLS
115,Il4,0.17724217,0.44913077934939805,near-TLS
116,Sell,0.042327028,0.5209986242292047,near-TLS
117,Il1b,0.06360173,0.5373222941805548,near-TLS
118,Il17a,0.25671846,0.5712321850702251,near-TLS
119,Adm,0.091460966,0.5924120416943887,near-TLS
120,Lama2,0.029389525,0.6128784203594698,near-TLS
121,Ncam1,0.12820701,0.6927473623432607,near-TLS
122,Il6,0.1211912,0.7994077609078748,near-TLS
123,Nmb,0.02624872,0.8963697479667543,near-TLS
124,Gzma,0.009219837,0.9409716846520061,near-TLS
125,Igf2,-0.039876483,0.8783702351258573,near-TLS
126,Vtn,-0.049131088,0.8491079006617513,near-TLS
127,Tslp,-0.039041962,0.7998523509125578,near-TLS
128,Pomc,-0.06922051,0.524687373911375,near-TLS
